id,name,Fibres,Starch,Protein,Lightbulks,Spices,Alliums,Fruittops,Seeds,Nuts,Bread,Cheesetops,Herbs,OtherTops,Oils,Fats,LiquidAromas,Glutenfree,Vegan,Vegetarian,LactoseFree,Diabetic,NutFree,FODMAPS,Umami,Sweet,Bitter,Sour,Salty,Spicy,Crunchy,AromaBomb,FRUITY,GREEN,FLORAL,SULFUROUS,HERBAL,AROMATIC_SPICY,WOODY,NUTTY,ROASTED,SMOKEY,CITRUS,MEATY,MARINE,CREAMY,CHEESY,Spring,Summer,Fall,Winter,Mediterranean,SouthAsian,EastAsian,LatinAmerican,European,MiddleEastern,Exotic,SlowAndDeep,FastAndFresh,Sofrito,Taco,Aromatics,Boil,Raw,Dressing,Toasting,Sour_map,Umami_map,Sweet_map,Bitter_map,Crunch_map,OilAndFat_map,Pungency_map,Spices_map,Herbs_map,Cheese_map,Alliums_map,Beverages_map,Fruits_map,FillingVeggies_map,Vegetables_map,MeatAndFish_map,Baking_map,Sour_wheel,Umami_wheel,Oil_wheel,Crunch_wheel,Sweet_wheel,Aroma_wheel,Fresh_wheel,Soft_wheel,Bitter_wheel,Spicy_wheel,common_en,common_da,common_de,common_es,has_icon
33,black-eyed peas,,,x,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,x,,,,,x,x,x,,,,,x,,,,,,x,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,x
34,black beans,,,x,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,x,,,,,x,x,,,,,,,,,,,,x,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,x,x
35,black olives,,,,,,,x,,,,,,,,,,x,x,x,x,x,x,x,,,,,x,,,x,,x,,,x,,x,x,,,,,,,,,,,,x,,,,x,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,x,,x,x,x,x,x
36,blackberries,,,,,,,x,,,,,,,,,,x,x,x,x,,x,x,,x,,,,,,x,x,x,x,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,,,,,x
37,blood orange,,,,,,,x,,,,,,,,,,x,x,x,x,,x,x,,x,,x,,,,x,x,x,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,,,,,x
38,blue cheese,,,,,,,,,,,x,,,,,,x,,x,,x,x,x,x,,,x,x,,,x,x,,,,,x,x,x,,,,,,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,x,,,,x,,x,,,x,x,x,x,x
39,blueberries,,,,,,,x,,,,,,,,,,x,x,x,x,,x,x,,x,,,,,,x,x,x,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,,,x,x,x,x,x
40,bok choy,,,,x,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,x,,x,,,x,,,,,,,,,,,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,x
41,boston lettuce,,,,x,,,,,,,,,,,,,x,x,x,x,x,x,x,,x,,,,,x,,,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,x,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,x,x,x,x,x
42,bread,,,,,,,,,,x,,,,,,,x,x,x,x,x,x,x,,,,,,,x,,,,,,,,x,x,x,,,,,,,,,,,x,,,,x,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,x,x,x,x,x
43,brie cheese,,,,,,,,,,,x,,,,,,x,,x,,x,x,x,x,,,x,x,,,x,,,,,,,x,x,,,,,,x,x,,,,,x,,,x,x,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,x,,,,,,x,,,x,x,x,x,x
44,broccoli,x,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,,,,,,,,,x,,x,x,,x,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,x,,x,x,x,x,x
45,brown rice,,x,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,x
46,brown sugar,,,,,,,,,,,,,,,,x,x,x,x,x,,x,x,,x,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,x,x,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,x,x,x,x,x
46,butter,,,,,,,,,,,x,,,x,,,x,,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,x,x,x,x
47,brussels sprouts,x,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,x,,,,,,,x,,x,x,,x,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,x,,x,x,x,x,x
48,bulgur,,x,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,x,,,,x,x,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,x,x,x,x,x
50,butter beans,,,x,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,,,x,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,x
51,butternut squash,x,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,x,,,,,,,,x,x,,,,,x,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,x,x,x,x,x
52,cabbage,x,,,,,,,,,,,,,,,,x,x,x,x,x,x,,x,,x,,,,,,,x,,x,,,x,,,,,,,,,,,,,,,x,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,x,,,,,x,x
